matrixName,Edge Cut,cut size,cut cost,imbalance
HB/lshp_577.mtx,0.001000 s,49,49.000000,0.000867
HB/cegb2919.mtx,0.008000 s,8253,8253.000000,0.000171
HB/bcsstk18.mtx,0.011000 s,708,708.000000,0.000000
HB/bcsstk15.mtx,0.005000 s,1477,1477.000000,0.000000
HB/dwt_66.mtx,0.001000 s,4,4.000000,0.000000
HB/lap_25.mtx,0.001000 s,14,14.000000,0.020000
HB/lshp2614.mtx,0.002000 s,105,105.000000,0.000000
HB/steam1.mtx,0.001000 s,180,180.000000,0.000000
HB/can_62.mtx,0.001000 s,8,8.000000,0.000000
HB/can_445.mtx,0.001000 s,124,124.000000,0.001124
HB/dwt_758.mtx,0.001000 s,34,34.000000,0.000000
HB/bcsstk21.mtx,0.002000 s,0,0.000000,0.000000
HB/young1c.mtx,0.001000 s,31,31.000000,0.000595
HB/gr_30_30.mtx,0.001000 s,91,91.000000,0.000000
HB/bcspwr03.mtx,0.001000 s,11,11.000000,0.000000
HB/bcsstm11.mtx,0.001000 s,0,0.000000,0.000339
Lee/fem_hifreq_circuit.mtx,0.554000 s,62977,63015.000000,0.000000
Lee/fem_filter.mtx,0.079000 s,6418,6433.000000,0.000000
Simon/appu.mtx,0.266000 s,383973,383999.000000,0.000000
UTEP/Dubcova2.mtx,0.059000 s,2334,2334.000000,0.000008
UTEP/Dubcova1.mtx,0.016000 s,1038,1038.000000,0.000031
UTEP/Dubcova3.mtx,0.127000 s,8093,8093.000000,0.000003
Barabasi/NotreDame_yeast.mtx,0.003000 s,53,53.000000,0.000000
CEMW/tmt_unsym.mtx,0.362000 s,1201,1201.000000,0.000001
CEMW/tmt_sym.mtx,0.342000 s,2035,2035.000000,0.000001
CEMW/vfem.mtx,0.078000 s,5954,5969.000000,0.000000
Watson/Baumann.mtx,0.047000 s,1244,1243.000000,0.000004
Williams/consph.mtx,0.127000 s,60899,60899.000000,0.000000
Williams/cop20k_A.mtx,0.122000 s,7158,7158.000000,0.000000
Williams/pdb1HYS.mtx,0.082000 s,27142,27142.000000,0.000014
Williams/cant.mtx,0.096000 s,5588,5588.000000,0.000008
Brunetiere/thermal.mtx,0.004000 s,327,312.000000,0.000000
FreeFieldTechnologies/mono_500Hz.mtx,0.256000 s,29265,29265.000000,0.000000
DIMACS10/fe_sphere.mtx,0.010000 s,454,454.000000,0.000000
DIMACS10/delaunay_n19.mtx,0.318000 s,2599,2599.000000,0.000000
DIMACS10/delaunay_n23.mtx,5.723000 s,8699,8699.000000,0.000000
DIMACS10/kron_g500-logn17.mtx,1.428000 s,118743,118743.000000,0.000000
DIMACS10/598a.mtx,0.153000 s,2837,2837.000000,0.000005
DIMACS10/fe_rotor.mtx,0.107000 s,4154,4154.000000,0.000005
DIMACS10/coAuthorsDBLP.mtx,0.602000 s,50875,50875.000000,0.000002
DIMACS10/vsp_bump2_e18_aa01_model1_crew1.mtx,0.142000 s,28412,28412.000000,0.000000
DIMACS10/delaunay_n10.mtx,0.004000 s,71,71.000000,0.000000
DIMACS10/kron_g500-logn19.mtx,9.282000 s,325607,325607.000000,0.000000
DIMACS10/delaunay_n22.mtx,2.862000 s,4800,4800.000000,0.000000
DIMACS10/fe_ocean.mtx,0.078000 s,527,527.000000,0.000003
DIMACS10/vsp_p0291_seymourl_iiasa.mtx,0.033000 s,7464,7464.000000,0.000000
DIMACS10/coAuthorsCiteseer.mtx,0.311000 s,20265,20265.000000,0.000000
DIMACS10/vsp_barth5_1Ksep_50in_5Kout.mtx,0.038000 s,4586,4586.000000,0.000000
DIMACS10/G_n_pin_pout.mtx,0.312000 s,117996,117996.000000,0.000000
DIMACS10/smallworld.mtx,0.120000 s,48759,48759.000000,0.000000
DIMACS10/cti.mtx,0.008000 s,337,337.000000,0.000000
DIMACS10/vsp_bcsstk30_500sep_10in_1Kout.mtx,0.191000 s,9620,9620.000000,0.000000
DIMACS10/fe_4elt2.mtx,0.008000 s,130,130.000000,0.000045
DIMACS10/vsp_c-30_data_data.mtx,0.020000 s,1751,1751.000000,0.000045
DIMACS10/t60k.mtx,0.029000 s,119,119.000000,0.000008
