matrixName;Edge Cut;cut size;cut cost;imbalance
HB/lshp3466.mtx;0.004000 s;124;124.000000;0.000000
HB/bcsstm05.mtx;0.001000 s;0;0.000000;0.500000
HB/young4c.mtx;0.002000 s;34;34.000000;0.000595
HB/bcspwr06.mtx;0.002000 s;7;7.000000;0.000000
HB/jagmesh3.mtx;0.002000 s;71;71.000000;0.000459
HB/1138_bus.mtx;0.002000 s;24;24.000000;0.000000
HB/jagmesh2.mtx;0.002000 s;65;65.000000;0.000496
HB/jagmesh9.mtx;0.002000 s;41;41.000000;0.000371
HB/bcsstk24.mtx;0.004000 s;639;2632.000000;0.000000
HB/dwt_209.mtx;0.001000 s;51;51.000000;0.002392
HB/bcsstk09.mtx;0.003000 s;353;353.000000;0.000462
HB/bcsstm26.mtx;0.001000 s;0;0.000000;0.500000
HB/cegb2802.mtx;0.004000 s;40;3051.000000;0.005353
HB/nos1.mtx;0.001000 s;1;4.000000;0.002110
HB/bcsstk27.mtx;0.002000 s;32;1064.000000;0.000000
HB/bcsstm04.mtx;0.001000 s;0;0.000000;0.500000
HB/bcsstk10.mtx;0.002000 s;35;230.000000;0.000921
HB/bcsstk26.mtx;0.003000 s;97;277.000000;0.000000
HB/bcsstm22.mtx;0.001000 s;0;0.000000;0.500000
HB/bcsstm08.mtx;0.001000 s;0;0.000000;0.500000
HB/dwt_193.mtx;0.001000 s;140;140.000000;0.002591
HB/dwt_245.mtx;0.001000 s;19;19.000000;0.002041
HB/dwt_198.mtx;0.001000 s;17;17.000000;0.000000
HB/lund_b.mtx;0.001000 s;25;109.000000;0.003401
HB/dwt_310.mtx;0.001000 s;20;20.000000;0.000000
HB/lshp1270.mtx;0.002000 s;73;73.000000;0.000000
HB/bcsstm24.mtx;0.001000 s;0;0.000000;0.500000
HB/bcsstk04.mtx;0.001000 s;296;296.000000;0.000000
HB/bcsstk14.mtx;0.005000 s;596;782.000000;0.000554
HB/can_268.mtx;0.001000 s;93;94.000000;0.000000
